Station ID,Date,Latitude,Longitude,Elevation,Marion_IN.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
74421494852,2020-02-21,40.48333,-85.68333,263.0,Marion_IN.csv,21.3,24,3.7,0.0,I
74421494852,2020-02-22,40.48333,-85.68333,263.0,Marion_IN.csv,31.1,24,8.7,0.0,I
74421494852,2020-02-23,40.48333,-85.68333,263.0,Marion_IN.csv,36.8,24,7.0,99.99, 
74421494852,2020-02-24,40.48333,-85.68333,263.0,Marion_IN.csv,37.3,24,3.8,0.14,B
74421494852,2020-02-25,40.48333,-85.68333,263.0,Marion_IN.csv,36.8,24,8.9,0.26,C
74421494852,2020-02-26,40.48333,-85.68333,263.0,Marion_IN.csv,30.8,24,7.4,0.02,B
74421494852,2020-02-27,40.48333,-85.68333,263.0,Marion_IN.csv,25.0,24,12.2,99.99, 
74421494852,2020-02-28,40.48333,-85.68333,263.0,Marion_IN.csv,19.5,24,6.6,99.99, 
74421494852,2020-02-29,40.48333,-85.68333,263.0,Marion_IN.csv,19.2,24,6.8,0.0,I
74421494852,2020-03-01,40.48333,-85.68333,263.0,Marion_IN.csv,30.5,24,6.0,0.0,I
74421494852,2020-03-02,40.48333,-85.68333,263.0,Marion_IN.csv,47.7,24,9.8,0.05,G
74421494852,2020-03-03,40.48333,-85.68333,263.0,Marion_IN.csv,43.4,24,7.4,0.05,G
74421494852,2020-03-04,40.48333,-85.68333,263.0,Marion_IN.csv,39.7,24,7.8,0.0,G
74421494852,2020-03-05,40.48333,-85.68333,263.0,Marion_IN.csv,37.8,24,5.7,0.0,I
74421494852,2020-03-06,40.48333,-85.68333,263.0,Marion_IN.csv,35.5,24,12.0,99.99, 
74421494852,2020-03-07,40.48333,-85.68333,263.0,Marion_IN.csv,31.3,24,3.6,0.0,I
74421494852,2020-03-08,40.48333,-85.68333,263.0,Marion_IN.csv,42.1,24,8.5,99.99, 
74421494852,2020-03-09,40.48333,-85.68333,263.0,Marion_IN.csv,52.0,24,11.6,99.99, 
74421494852,2020-03-10,40.48333,-85.68333,263.0,Marion_IN.csv,47.3,24,12.0,0.18,G
74421494852,2020-03-11,40.48333,-85.68333,263.0,Marion_IN.csv,38.6,24,2.3,0.01,G
74421494852,2020-03-12,40.48333,-85.68333,263.0,Marion_IN.csv,46.1,24,3.4,0.0,G
74421494852,2020-03-13,40.48333,-85.68333,263.0,Marion_IN.csv,45.2,24,12.2,0.95,G
74421494852,2020-03-14,40.48333,-85.68333,263.0,Marion_IN.csv,35.2,24,3.3,0.01,G
74421494852,2020-03-15,40.48333,-85.68333,263.0,Marion_IN.csv,34.2,24,7.5,0.12,G
74421494852,2020-03-16,40.48333,-85.68333,263.0,Marion_IN.csv,36.4,24,2.1,0.0,G
74421494852,2020-03-17,40.48333,-85.68333,263.0,Marion_IN.csv,40.2,24,4.2,0.0,I
74421494852,2020-03-18,40.48333,-85.68333,263.0,Marion_IN.csv,37.8,24,4.6,0.38,B
74421494852,2020-03-19,40.48333,-85.68333,263.0,Marion_IN.csv,44.3,24,5.8,0.47,C
74421494852,2020-03-20,40.48333,-85.68333,263.0,Marion_IN.csv,55.0,24,13.6,0.17,B
74421494852,2020-03-21,40.48333,-85.68333,263.0,Marion_IN.csv,30.3,24,8.3,0.0,I
74421494852,2020-03-22,40.48333,-85.68333,263.0,Marion_IN.csv,30.7,24,5.5,0.1,A
74421494852,2020-03-23,40.48333,-85.68333,263.0,Marion_IN.csv,34.9,24,3.7,0.0,I
74421494852,2020-03-24,40.48333,-85.68333,263.0,Marion_IN.csv,38.9,24,3.4,99.99, 
74421494852,2020-03-25,40.48333,-85.68333,263.0,Marion_IN.csv,39.6,24,3.3,0.0,I
74421494852,2020-03-26,40.48333,-85.68333,263.0,Marion_IN.csv,50.4,24,5.5,0.11,A
