Station ID,Date,Latitude,Longitude,Elevation,Lehigh_PA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72517014737,2020-02-26,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.6,24,5.4,0.06,G
72517014737,2020-02-27,40.64985,-75.44771,118.9,Lehigh_PA.csv,40.7,24,14.0,0.8,G
72517014737,2020-02-28,40.64985,-75.44771,118.9,Lehigh_PA.csv,32.7,24,14.0,0.72,G
72517014737,2020-02-29,40.64985,-75.44771,118.9,Lehigh_PA.csv,30.6,24,9.8,0.0,G
72517014737,2020-03-01,40.64985,-75.44771,118.9,Lehigh_PA.csv,33.7,24,8.1,0.0,G
72517014737,2020-03-02,40.64985,-75.44771,118.9,Lehigh_PA.csv,41.2,24,4.6,0.0,G
72517014737,2020-03-03,40.64985,-75.44771,118.9,Lehigh_PA.csv,53.3,24,5.5,0.04,G
72517014737,2020-03-04,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.4,24,10.7,0.4,G
72517014737,2020-03-05,40.64985,-75.44771,118.9,Lehigh_PA.csv,45.9,24,6.9,0.0,G
72517014737,2020-03-06,40.64985,-75.44771,118.9,Lehigh_PA.csv,38.5,24,4.9,0.0,G
72517014737,2020-03-07,40.64985,-75.44771,118.9,Lehigh_PA.csv,39.6,24,10.5,0.07,G
72517014737,2020-03-08,40.64985,-75.44771,118.9,Lehigh_PA.csv,40.7,24,6.5,0.0,G
72517014737,2020-03-09,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.4,24,5.5,0.0,G
72517014737,2020-03-10,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.5,24,6.0,0.0,G
72517014737,2020-03-11,40.64985,-75.44771,118.9,Lehigh_PA.csv,50.7,24,6.0,0.08,G
72517014737,2020-03-12,40.64985,-75.44771,118.9,Lehigh_PA.csv,45.3,24,4.0,0.0,G
72517014737,2020-03-13,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.7,24,9.0,0.24,G
72517014737,2020-03-14,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.5,24,8.8,0.21,G
72517014737,2020-03-15,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.2,24,5.9,0.0,G
72517014737,2020-03-16,40.64985,-75.44771,118.9,Lehigh_PA.csv,39.9,24,7.2,0.0,G
72517014737,2020-03-17,40.64985,-75.44771,118.9,Lehigh_PA.csv,44.6,24,6.0,0.04,G
72517014737,2020-03-18,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.6,24,3.9,0.01,G
72517014737,2020-03-19,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.3,24,6.4,0.77,G
72517014737,2020-03-20,40.64985,-75.44771,118.9,Lehigh_PA.csv,55.6,24,5.1,0.6,G
72517014737,2020-03-21,40.64985,-75.44771,118.9,Lehigh_PA.csv,52.2,24,9.7,0.0,G
72517014737,2020-03-22,40.64985,-75.44771,118.9,Lehigh_PA.csv,38.9,24,6.8,0.0,G
72517014737,2020-03-23,40.64985,-75.44771,118.9,Lehigh_PA.csv,38.8,24,9.3,0.01,G
72517014737,2020-03-24,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.3,24,6.6,0.61,G
72517014737,2020-03-25,40.64985,-75.44771,118.9,Lehigh_PA.csv,43.2,24,9.8,0.0,G
72517014737,2020-03-26,40.64985,-75.44771,118.9,Lehigh_PA.csv,42.9,24,3.6,0.04,G
72517014737,2020-03-27,40.64985,-75.44771,118.9,Lehigh_PA.csv,56.7,24,5.9,0.01,G
72517014737,2020-03-28,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.4,24,6.4,0.69,B
72517014737,2020-03-29,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.9,24,7.3,0.08,C
72517014737,2020-03-30,40.64985,-75.44771,118.9,Lehigh_PA.csv,51.6,24,5.1,0.0,A
72517014737,2020-03-31,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.5,24,5.1,0.01,G
72517014737,2020-04-01,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.3,24,6.9,0.02,G
72517014737,2020-04-02,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.0,24,14.9,0.0,G
72517014737,2020-04-03,40.64985,-75.44771,118.9,Lehigh_PA.csv,50.3,24,14.0,0.0,G
72517014737,2020-04-04,40.64985,-75.44771,118.9,Lehigh_PA.csv,52.7,24,6.5,0.0,G
72517014737,2020-04-05,40.64985,-75.44771,118.9,Lehigh_PA.csv,58.9,24,6.8,0.0,G
72517014737,2020-04-06,40.64985,-75.44771,118.9,Lehigh_PA.csv,57.0,24,6.0,0.0,G
72517014737,2020-04-07,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.8,24,2.6,0.0,G
72517014737,2020-04-08,40.64985,-75.44771,118.9,Lehigh_PA.csv,62.5,24,6.1,0.59,G
72517014737,2020-04-09,40.64985,-75.44771,118.9,Lehigh_PA.csv,55.0,24,9.3,0.0,H
72517014737,2020-04-10,40.64985,-75.44771,118.9,Lehigh_PA.csv,44.8,24,14.0,0.0,G
72517014737,2020-04-11,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.0,24,11.4,0.0,G
72517014737,2020-04-12,40.64985,-75.44771,118.9,Lehigh_PA.csv,50.2,24,5.0,0.0,G
72517014737,2020-04-13,40.64985,-75.44771,118.9,Lehigh_PA.csv,64.6,24,13.0,0.68,G
72517014737,2020-04-14,40.64985,-75.44771,118.9,Lehigh_PA.csv,53.0,24,9.1,0.4,G
72517014737,2020-04-15,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.5,24,7.5,0.06,G
72517014737,2020-04-16,40.64985,-75.44771,118.9,Lehigh_PA.csv,44.9,24,9.0,0.04,G
72517014737,2020-04-17,40.64985,-75.44771,118.9,Lehigh_PA.csv,39.1,24,6.2,0.0,G
72517014737,2020-04-18,40.64985,-75.44771,118.9,Lehigh_PA.csv,43.9,24,7.9,0.19,G
72517014737,2020-04-19,40.64985,-75.44771,118.9,Lehigh_PA.csv,45.9,24,7.2,0.01,G
72517014737,2020-04-20,40.64985,-75.44771,118.9,Lehigh_PA.csv,52.8,24,5.5,0.0,G
72517014737,2020-04-21,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.4,24,7.0,0.0,G
72517014737,2020-04-22,40.64985,-75.44771,118.9,Lehigh_PA.csv,43.3,24,12.7,0.19,G
72517014737,2020-04-23,40.64985,-75.44771,118.9,Lehigh_PA.csv,45.7,24,3.2,0.0,G
72517014737,2020-04-24,40.64985,-75.44771,118.9,Lehigh_PA.csv,48.0,24,8.4,0.37,G
72517014737,2020-04-25,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.1,24,2.3,0.19,G
72517014737,2020-04-26,40.64985,-75.44771,118.9,Lehigh_PA.csv,50.6,24,9.5,0.02,G
72517014737,2020-04-27,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.2,24,8.8,0.62,G
72517014737,2020-04-28,40.64985,-75.44771,118.9,Lehigh_PA.csv,51.6,24,5.8,0.0,G
72517014737,2020-04-29,40.64985,-75.44771,118.9,Lehigh_PA.csv,55.7,24,8.4,0.0,G
72517014737,2020-04-30,40.64985,-75.44771,118.9,Lehigh_PA.csv,60.6,24,14.0,0.0,G
72517014737,2020-05-01,40.64985,-75.44771,118.9,Lehigh_PA.csv,61.9,24,6.6,1.02,G
72517014737,2020-05-02,40.64985,-75.44771,118.9,Lehigh_PA.csv,62.0,24,9.2,0.0,G
72517014737,2020-05-03,40.64985,-75.44771,118.9,Lehigh_PA.csv,67.8,24,7.4,0.08,G
72517014737,2020-05-04,40.64985,-75.44771,118.9,Lehigh_PA.csv,65.9,24,9.0,0.0,I
72517014737,2020-05-05,40.64985,-75.44771,118.9,Lehigh_PA.csv,53.7,24,6.8,0.0,G
