Station ID,Date,Latitude,Longitude,Elevation,Suffolk_NY.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
99728299999,2020-02-21,41.05,-71.97,10.0,Suffolk_NY.csv,25.6,24,0.0,0.0,I
99728299999,2020-02-22,41.05,-71.97,10.0,Suffolk_NY.csv,33.8,22,0.0,0.0,I
99728299999,2020-02-23,41.05,-71.97,10.0,Suffolk_NY.csv,40.2,24,0.0,0.0,I
99728299999,2020-02-24,41.05,-71.97,10.0,Suffolk_NY.csv,44.4,24,0.0,0.0,I
99728299999,2020-02-25,41.05,-71.97,10.0,Suffolk_NY.csv,45.3,23,0.0,0.0,I
99728299999,2020-02-26,41.05,-71.97,10.0,Suffolk_NY.csv,44.2,24,0.0,0.0,I
99728299999,2020-02-27,41.05,-71.97,10.0,Suffolk_NY.csv,43.0,24,0.0,0.0,I
99728299999,2020-02-28,41.05,-71.97,10.0,Suffolk_NY.csv,34.3,24,0.0,0.0,I
99728299999,2020-02-29,41.05,-71.97,10.0,Suffolk_NY.csv,34.0,24,0.0,0.0,I
99728299999,2020-03-01,41.05,-71.97,10.0,Suffolk_NY.csv,28.7,24,0.0,0.0,I
99728299999,2020-03-02,41.05,-71.97,10.0,Suffolk_NY.csv,40.0,24,0.0,0.0,I
99728299999,2020-03-03,41.05,-71.97,10.0,Suffolk_NY.csv,48.0,24,0.0,0.0,I
99728299999,2020-03-04,41.05,-71.97,10.0,Suffolk_NY.csv,47.0,24,0.0,0.0,I
99728299999,2020-03-05,41.05,-71.97,10.0,Suffolk_NY.csv,43.2,24,0.0,0.0,I
99728299999,2020-03-06,41.05,-71.97,10.0,Suffolk_NY.csv,41.7,24,0.0,0.0,I
99728299999,2020-03-07,41.05,-71.97,10.0,Suffolk_NY.csv,37.5,24,0.0,0.0,I
99728299999,2020-03-08,41.05,-71.97,10.0,Suffolk_NY.csv,40.3,24,0.0,0.0,I
99728299999,2020-03-09,41.05,-71.97,10.0,Suffolk_NY.csv,47.4,24,0.0,0.0,I
99728299999,2020-03-10,41.05,-71.97,10.0,Suffolk_NY.csv,49.3,24,0.0,0.0,I
99728299999,2020-03-11,41.05,-71.97,10.0,Suffolk_NY.csv,48.0,19,0.0,0.0,I
99728299999,2020-03-12,41.05,-71.97,10.0,Suffolk_NY.csv,42.7,24,0.0,0.0,I
99728299999,2020-03-13,41.05,-71.97,10.0,Suffolk_NY.csv,47.4,19,0.0,0.0,I
